Team,Driver,Odds,raw_implied_p,p_norm
Mercedes,Lewis Hamilton,25/1,0.0384615384615384,0.031655049406658524
Mercedes,George Russel,25/1,0.0384615384615384,0.031655049406658524
Red Bull,Max Verstappen,2/9,0.8181818181818182,0.6733892328325551
Red Bull,Sergio Perez,12/1,0.0769230769230769,0.06331009881331713
Ferrari,Charles Leclerc,25/1,0.0384615384615384,0.031655049406658524
Ferrari,Carlos Sainz,28/1,0.0344827586206896,0.028380389123211086
Mclaren,Lando Norris,12/1,0.0769230769230769,0.06331009881331713
Mclaren,Oscar Piastri,16/1,0.0588235294117647,0.04841360497488957
Alpine,Estaban Ocon,500/1,0.0019960079840319,0.001642777015115984
Alpine,Pierre Gasly,500/1,0.0019960079840319,0.001642777015115984
Aston Martin,Fernando Alonso,80/1,0.0123456790123456,0.010160880056458241
Aston Martin,Lance Stroll,500/1,0.0019960079840319,0.001642777015115984
Haas,Kevin Magnussen,500/1,0.0019960079840319,0.001642777015115984
Haas,Nico Hulkenburg,500/1,0.0019960079840319,0.001642777015115984
Alfa Tauri,Yuki Tsunoda,500/1,0.0019960079840319,0.001642777015115984
Alfa Tauri,Daniel Riccardo,500/1,0.0019960079840319,0.001642777015115984
Alfa Romeo,Valterri Bottas,500/1,0.0019960079840319,0.001642777015115984
Alfa Romeo,Zhou Guanyu,500/1,0.0019960079840319,0.001642777015115984
Williams,Alex Albon,500/1,0.0019960079840319,0.001642777015115984
Williams,Logan Sergant,500/1,0.0019960079840319,0.001642777015115984
