Team,Driver,Odds,raw_implied_p,p_norm,lambda_est,p_predicted,p_error
Mercedes,Lewis Hamilton,25/1,0.0384615384615384,0.0316550494066585,0.008103692648104576,0.031655049406658545,4.163336342344337e-17
Mercedes,George Russel,25/1,0.0384615384615384,0.0316550494066585,0.008103692648104576,0.031655049406658545,4.163336342344337e-17
Red Bull,Max Verstappen,2/9,0.8181818181818182,0.6733892328325551,0.17238764360513412,0.6733892328325561,9.992007221626409e-16
Red Bull,Sergio Perez,12/1,0.0769230769230769,0.0633100988133171,0.01620738529620918,0.0633100988133172,9.71445146547012e-17
Ferrari,Charles Leclerc,25/1,0.0384615384615384,0.0316550494066585,0.008103692648104576,0.031655049406658545,4.163336342344337e-17
Ferrari,Carlos Sainz,28/1,0.0344827586206896,0.028380389123211,0.0072653796155420156,0.02838038912321104,4.163336342344337e-17
Mclaren,Lando Norris,12/1,0.0769230769230769,0.0633100988133171,0.01620738529620918,0.0633100988133172,9.71445146547012e-17
Mclaren,Oscar Piastri,16/1,0.0588235294117647,0.0484136049748895,0.012393882873571713,0.04841360497488958,7.632783294297951e-17
Alpine,Estaban Ocon,500/1,0.0019960079840319,0.0016427770151159,0.0004205509158696704,0.0016427770151159024,2.3852447794681098e-18
Alpine,Pierre Gasly,500/1,0.0019960079840319,0.0016427770151159,0.0004205509158696704,0.0016427770151159024,2.3852447794681098e-18
Aston Martin,Fernando Alonso,80/1,0.0123456790123456,0.0101608800564582,0.002601185294453299,0.010160880056458215,1.5612511283791264e-17
Aston Martin,Lance Stroll,500/1,0.0019960079840319,0.0016427770151159,0.0004205509158696704,0.0016427770151159024,2.3852447794681098e-18
Haas,Kevin Magnussen,500/1,0.0019960079840319,0.0016427770151159,0.0004205509158696704,0.0016427770151159024,2.3852447794681098e-18
Haas,Nico Hulkenburg,500/1,0.0019960079840319,0.0016427770151159,0.0004205509158696704,0.0016427770151159024,2.3852447794681098e-18
Alfa Tauri,Yuki Tsunoda,500/1,0.0019960079840319,0.0016427770151159,0.0004205509158696704,0.0016427770151159024,2.3852447794681098e-18
Alfa Tauri,Daniel Riccardo,500/1,0.0019960079840319,0.0016427770151159,0.0004205509158696704,0.0016427770151159024,2.3852447794681098e-18
Alfa Romeo,Valterri Bottas,500/1,0.0019960079840319,0.0016427770151159,0.0004205509158696704,0.0016427770151159024,2.3852447794681098e-18
Alfa Romeo,Zhou Guanyu,500/1,0.0019960079840319,0.0016427770151159,0.0004205509158696704,0.0016427770151159024,2.3852447794681098e-18
Williams,Alex Albon,500/1,0.0019960079840319,0.0016427770151159,0.0004205509158696704,0.0016427770151159024,2.3852447794681098e-18
Williams,Logan Sergant,500/1,0.0019960079840319,0.0016427770151159,0.0004205509158696704,0.0016427770151159024,2.3852447794681098e-18
