term,Estimate,Std_Error,t_value,p_value,r2,aic
const,15.25200000000002,0.6700089063291087,22.763876503618043,9.449117988336238e-79,0.39981425563909767,2937.707867885966
driverorder2,0.2160000000000153,0.4040305724527319,0.5346130088343387,0.5931604730205433,0.39981425563909767,2937.707867885966
AlfaRomeo,-2.1800000000000237,0.9034398249924633,-2.4129996704741346,0.016188660378727397,0.39981425563909767,2937.707867885966
AlfaTauri,-1.740000000000026,0.9034398249924641,-1.9259722140481685,0.05468724435075632,0.39981425563909767,2937.707867885966
Alpine,-4.960000000000003,0.9034398249924636,-5.490127690619991,6.463207990566043e-08,0.39981425563909767,2937.707867885966
AstonMartin,-3.2000000000000313,0.903439824992464,-3.5420178649161542,0.0004351165504616955,0.39981425563909767,2937.707867885966
Ferrari,-9.100000000000012,0.9034398249924636,-10.072613303355233,8.2364082511173e-22,0.39981425563909767,2937.707867885966
Haas,-1.7200000000000157,0.9034398249924639,-1.903834602392432,0.05751846117711926,0.39981425563909767,2937.707867885966
Mclaren,-4.960000000000011,0.9034398249924637,-5.490127690619999,6.463207990565771e-08,0.39981425563909767,2937.707867885966
Mercedes,-9.680000000000012,0.9034398249924649,-10.714604041371265,3.31905679497847e-24,0.39981425563909767,2937.707867885966
RedBull,-11.060000000000022,0.9034398249924638,-12.242099245616366,3.033206992164824e-30,0.39981425563909767,2937.707867885966
